morning,,afternoon,
X,Y,X,Y
-1.7543859649123306,5.007824726134231,0,2.503912363067002
40.350877192982466,80.12519561815338,71.9298245614034,80.12519561815338
101.75438596491222,162.75430359937377,92.98245614035079,112.67605633802805
143.859649122807,222.84820031298887,129.8245614035087,157.74647887323908
245.61403508771934,358.05946791862266,152.63157894736833,165.25821596244123
324.56140350877195,460.7198748043818,175.43859649122805,200.31298904538312
389.47368421052624,558.372456964006,229.8245614035087,232.86384976525824
496.49122807017534,701.0954616588417,270.1754385964912,280.43818466353673
592.9824561403509,828.7949921752738,284.2105263157895,287.94992175273865
633.3333333333333,843.8184663536776,319.29824561403507,292.9577464788731
761.4035087719299,1011.5805946791862,345.61403508771934,262.91079812206567
892.9824561403509,1131.7683881064163,349.1228070175439,227.85602503912355
945.6140350877192,1234.4287949921752,387.719298245614,212.8325508607195
1049.1228070175437,1317.0579029733958,373.6842105263157,355.55555555555543
1078.9473684210525,1259.4679186228482,401.7543859649122,368.0751173708918
1210.5263157894738,1349.6087636932707,417.54385964912285,272.9264475743346
1287.719298245614,1129.2644757433488,405.2631578947369,320.5007824726133
1324.561403508772,1332.0813771517996,491.2280701754387,317.9968701095461
1373.6842105263158,1372.1439749608762,726.3157894736842,445.69640062597796
1291.2280701754385,1509.8591549295775,917.5438596491229,545.8528951486696
1321.052631578947,1532.394366197183,1031.578947368421,525.8215962441313
1366.6666666666667,1514.866979655712,1152.6315789473686,528.3255086071986
1447.3684210526317,1329.5774647887324,1201.7543859649122,630.9859154929577
1475.438596491228,1494.8356807511736,1271.9298245614036,528.3255086071986
1521.0526315789475,1499.8435054773083,1305.2631578947369,435.6807511737088
1521.0526315789475,1294.5226917057903,1342.1052631578948,360.5633802816901
,,1368.4210526315792,340.5320813771516
,,1349.122807017544,515.8059467918622
,,1377.1929824561403,535.8372456964003
,,1401.7543859649122,570.8920187793426
,,1540.3508771929828,733.6463223787166
,,1610.5263157894738,821.2832550860719
,,1607.0175438596489,891.392801251956
,,1643.8596491228068,1009.0766823161189
,,1689.4736842105267,1066.6666666666665
,,1603.5087719298244,1094.209702660407
,,1605.263157894737,1139.280125195618
